distance,path_loss,env,path_loss.1,env
109.3309197,104.1567637,0,125.192094,1
110.3279203,104.2395547,0,125.3312618,1
111.3249747,104.3216053,0,125.469185,1
112.3220815,104.4029286,0,125.6058856,1
113.3192393,104.4835373,0,125.7413849,1
114.3164468,104.5634437,0,125.8757038,1
115.3137026,104.6426599,0,126.0088624,1
116.3110055,104.7211976,0,126.1408807,1
117.3083543,104.7990684,0,126.2717777,1
118.305748,104.8762834,0,126.4015724,1
119.3031852,104.9528534,0,126.530283,1
120.300665,105.0287892,0,126.6579275,1
121.2981863,105.1041011,0,126.7845231,1
122.2957481,105.1787991,0,126.910087,1
123.2933494,105.2528933,0,127.0346357,1
124.2909892,105.3263932,0,127.1581855,1
125.2886667,105.3993082,0,127.2807522,1
126.2863809,105.4716475,0,127.4023511,1
127.284131,105.5434201,0,127.5229975,1
128.2819161,105.6146348,0,127.642706,1
129.2797355,105.6853002,0,127.7614911,1
130.2775882,105.7554245,0,127.8793668,1
131.2754737,105.8250161,0,127.9963469,1
132.2733911,105.8940829,0,128.1124449,1
133.2713398,105.9626327,0,128.2276738,1
134.2693189,106.0306731,0,128.3420466,1
135.2673279,106.0982118,0,128.4555758,1
136.2653661,106.1652559,0,128.5682738,1
137.2634329,106.2318126,0,128.6801525,1
138.2615275,106.297889,0,128.7912237,1
139.2596496,106.3634919,0,128.9014991,1
140.2577984,106.428628,0,129.0109898,1
141.2559733,106.4933039,0,129.1197069,1
142.2541739,106.557526,0,129.2276612,1
143.2523996,106.6213006,0,129.3348633,1
144.2506499,106.684634,0,129.4413236,1
145.2489243,106.747532,0,129.5470523,1
146.2472222,106.8100008,0,129.6520593,1
147.2455432,106.872046,0,129.7563543,1
148.2438869,106.9336733,0,129.8599469,1
149.2422527,106.9948883,0,129.9628465,1
150.2406403,107.0556966,0,130.0650622,1
151.2390492,107.1161033,0,130.1666031,1
152.237479,107.1761139,0,130.267478,1
153.2359292,107.2357334,0,130.3676955,1
154.2343995,107.2949668,0,130.4672641,1
155.2328896,107.3538192,0,130.5661921,1
